test_question,test_span,train_question,train_span,distance
How many first downs did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.081240716934861
How many first downs did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.5836540115635382
How many first downs did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.305251706106283
How many first downs did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.315457776800892
How many first downs did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.381777008586616
Who did the Broncos tie with the most sacks in a Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.505847450858783
Who did the Broncos tie with the most sacks in a Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.9734995746572745
Who did the Broncos tie with the most sacks in a Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.847008356451616
Who did the Broncos tie with the most sacks in a Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.567414761205311
Who did the Broncos tie with the most sacks in a Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.595165999678423
Who did the Broncos tie with the most sacks in a Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,"If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.165654110562279
Who did the Broncos tie with the most sacks in a Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,Super Bowl 50 decided the NFL champion for what season?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,5.11230961757168
Who did the Broncos tie with the most sacks in a Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.241093649959635
Who did the Broncos tie with the most sacks in a Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.323878775484623
Who did the Broncos tie with the most sacks in a Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.162600934560652
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.023866002504334
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.238732865289439
Which team did Gary Kubiak play for when he was in the Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.5058480414401463
Which team did Gary Kubiak play for when he was in the Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.9727950437049966
Which team did Gary Kubiak play for when he was in the Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.281761015617093
Which team did Gary Kubiak play for when he was in the Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.731592183030483
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.23119349064336
Which team did Gary Kubiak play for when he was in the Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.87037893364186
Which team did Gary Kubiak play for when he was in the Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.269594739184282
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.747319131567494
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.579358945079179
Which team did Gary Kubiak play for when he was in the Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.350363880550185
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.317648886679537
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",9.832006953394464
How many first downs did the Panthers have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.556786411959523
How many first downs did the Panthers have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.767412799588946
How many first downs did the Panthers have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",8.31349988872247
How many first downs did the Panthers have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.045777813437912
How many first downs did the Panthers have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.229712716791739
How many first downs did the Panthers have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.989067313891503
How many first downs did the Panthers have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.270551162617013
How many first downs did the Panthers have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.836855078977146
How many first downs did the Panthers have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.3258850059503298
How many first downs did the Panthers have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.401152561817835
How many first downs did the Panthers have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.919638887313512
How many first downs did the Panthers have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.6352929813912995
How many first downs did the Broncos have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.556786411959523
How many first downs did the Broncos have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.767412799588946
How many first downs did the Broncos have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",8.31349988872247
How many first downs did the Broncos have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.045777813437912
How many first downs did the Broncos have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.229712716791739
How many first downs did the Broncos have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,"If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.810361548892717
How many first downs did the Broncos have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.270551162617013
How many first downs did the Broncos have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.836855078977146
How many first downs did the Broncos have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.3258850059503298
How many first downs did the Broncos have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.401152561817835
How many first downs did the Broncos have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.919638887313512
How many first downs did the Broncos have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.6352929813912995
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,5.1128552732555725
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.852135679961569
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,"If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",10.917158300866229
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.395741797029928
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",10.299453693261253
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.675576538698173
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.270943094813226
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",9.269350087287576
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.580123343657764
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.140124008627351
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",8.95330329560433
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",9.196571293559485
What team di the Broncos tie a Super Bowl record for in sacks?,Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.505962391233409
What team di the Broncos tie a Super Bowl record for in sacks?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.9739063877205267
What team di the Broncos tie a Super Bowl record for in sacks?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.36582354383283
What team di the Broncos tie a Super Bowl record for in sacks?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.734776984664681
What team di the Broncos tie a Super Bowl record for in sacks?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.319397020735524
